,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
483,4,6.0,14357,19.86703459599812,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,14
484,8,6.0,14361,19.921353284997167,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,14
485,16,6.0,14369,19.98294151799928,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,14
486,32,6.0,14385,20.059352673997637,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,14
487,64,6.0,14417,20.16551457999958,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,14
488,128,6.0,14481,20.32684528000027,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,14
489,256,6.0,14609,20.60080670499883,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,14
490,512,6.0,14865,21.109447009999712,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,14
491,1024,6.0,15377,22.10911597899758,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,14
492,0,1.0,15377,22.16047660899858,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0)]",75,1024,15
493,1,3.0,15379,22.212432008996984,"[np.int64(1), np.int64(1), np.int64(1), np.int64(0)]",75,1024,15
494,2,3.0,15380,22.264719933999004,"[np.int64(1), np.int64(1), np.int64(1), np.int64(0)]",75,1024,15
495,4,4.0,15383,22.31882473299993,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,15
496,8,4.0,15387,22.37603709799805,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,15
497,16,4.0,15395,22.440654963997076,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,15
498,32,4.0,15411,22.519543397000234,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,15
499,64,4.0,15443,22.628594966998207,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,15
500,128,4.0,15507,22.79899613499947,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,15
501,256,4.0,15635,23.093266687999858,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,15
502,512,4.0,15891,23.64271272699989,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,15
503,1024,4.0,16403,24.699556064999342,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",75,1024,15
504,0,1.0,16403,24.75009323499762,"[np.int64(1), np.int64(0), np.int64(0), np.int64(1)]",75,1024,16
505,1,1.0,16404,24.801468072997523,"[np.int64(1), np.int64(0), np.int64(0), np.int64(1)]",75,1024,16
506,2,1.0,16405,24.853208589000133,"[np.int64(1), np.int64(0), np.int64(0), np.int64(1)]",75,1024,16
507,4,2.0,16408,24.90625039599763,"[np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",75,1024,16
